Organic Nation


Phil Wohl


Smashwords Edition
Copyright 2009 Phil Wohl

This eBook is licensed for your personal enjoyment only. This eBook may not be re-sold or given away to other people. If you would like to share this book with another person, please purchase an additional copy for each recipient. If you’re reading this book and did not purchase it, or it was not purchased for your use only, then please return to Smashwords.com and purchase your own copy. Thank you for respecting the hard work of this author.



ON

	“Please empty your pockets,” the prison guard said with all of the emotion of an extension cord.
Sal added, “We need to get people food fast and keep it coming through the meal.  I can put just about anything on a stick - chicken, shrimp, vegetables, beef, tofu - where people’s total bill will be comparable or even greater than with the big-plate entrée approach.”
“Desserts and coffee work as well,” Brad stated.  “The key is to keep the table as clear as possible for papers and on-line stock evaluation.  A lack of room has been the biggest complaint by customers.”
“So, let’s give them room,” Sal said.
“And food on a stick,” Charles added as the three men cracked up.
The competitions for investment club supremacy took place in increments of 30-day, one quarter (three months), six months, and one year, with the two- to five-year window reserved for more seasoned players only.  Prizes varied from free food to $100-plus gift certificates for each team member to day spas, movie theaters, Broadway shows, sporting goods stores, and natural food markets.  As time went on, though, exotic vacations and cash remuneration were also added to the kitty.
Expansion was a more complex thought process the second time around for Brad than it had been when he ran Organic Nation.  In those days, size did matter and he was in a race to further the growth prospects of the public company.  Being privately-held definitely had its advantages, and Brad wanted to keep it that way.  The initial stab at the concept was so successful that, at the very minimum, natural curiosity would demand at least a second and third location.
The initial Westbury, Long Island location was right in the heart of restaurant row and was a short drive from businesses and a major parkway.  Similar locations were scouted out in Chatham, New Jersey and Ridgefield, Connecticut, and another spot was considered in the heart of Brooklyn, New York.  The guys eventually settled on the Chatham, New Jersey location, but also opened the other two locations within four years.
The restaurants proved to wildly successfully like the Westbury location, prompting the guys to sell the concept to Yum! Brands through a national franchising and consulting agreement.  The guys agreed to sell all but the Westbury location, which obviously held a great deal of sentimental value.

THE HOME FRONT

The matriculation back into professional life proved to be quite different for Brad, Charles, and Sal than it was when they were originally in the workforce.  Their respective career decisions became a lot easier with all of that time to think while they were in jail.  The more complex variable in the equation was the personal because that required the radical unearthing of buried emotions and other hidden, yet impactful treasures.
Simply doing something you’re good at, repeatedly, is much easier than baring your soul and trying to establish a real connection with another human being.  At least two of the three guys were on their way to establishing a long-term, meaningful relationship, as Charles was in the process of falling for the restaurant's new wine steward, Sandra Parker..  Sal, on the other hand, had neither the time nor the inclination to settle down.
“Settle down, Mr. Coplia,” Mrs. Marshall said to her most rambunctious fourth-grade student.
This was the story of Sal’s life.  He was always going 100 miles per hour in a 55 miles per-hour zone.  While this helter-skelter attitude got him in trouble most of his life, it definitely served him well in the fast-paced inner workings of the kitchen.  Sal finally felt in place when he went to work for Organic Nation. That was why he literally cracked in half when he lost his job.  Any balance he had achieved instantly shifted to chaos, and he quickly lost everything before heading to jail.  Sal’s life now was completely balanced through a healthy dose of being a chef and then running around in the dead of night with fast women with absolutely no inclination toward commitment.
Balance was everything in Brad’s relationship with Stacey.  Their prior working relationship was based on deception, yet they managed to create a great deal of heat between the lies.
“Did you ever think we’d wind up together?” Brad said to Stacey as she rested her head on his chest as they stretched out in bed.
She replied, “I did a long time ago.”
He sat up, “When was that?”
“I told you about this, didn’t I?” she said.
“No, I haven’t heard this story yet,” Brad stated with a smile on his face.
Stacey stood up and started pacing back and forth in a move reminiscent of an expectant father.  “It all started when we first met.  I was at a restaurant and food chain analyst conference at the Intercontinental Hotel.  Those were the days when I was still deciding between law school and an M.B.A., so a friend of the family got me in to check things out.  Everything was so new to me, so I decided to check out a series of presentations from companies expected to come out with their Initial Public Offerings,” she stopped pacing and then sat down on a tub chair next to the bed.
“I remember being really nervous that day,” Brad interjected.  “It was all or nothing.  I was so nervous that I slammed into this girl…”
She smiled and pointed toward the right side of her mouth, “I had to go to the dentist four of five times just to get these teeth secure again.”
“Wow, I’m sorry! Brad said as he made his way over to Stacey.  He then smirked, “Did you stay for the presentation?”
She kissed Brad and then replied, “Once I got the blood to stop flowing, I stood in the back and watched you charm the pants off every single person in the room.  Organic Nation was irresistible and so were you.”
Brad, of course, had no response for such high praise, so he told his own first meeting story.  “I remember the first time I saw you.  I was taking the subway into work in those days, and it was just another day until I looked across the car and saw a woman wearing headphones and scribbling on a note pad.  I couldn’t take my eyes off you the entire 20-minute ride.”
Stacey anticipated the next question by saying, “I used to keep a journal to avoid making eye contact with people.  I felt like if I looked busy then people would generally leave me alone.”
“Well it worked.  I don’t think you picked up your head once, which made it easy to soak all of that good eye-candy in,” Brad stated as he rolled over and then mauled his girlfriend like a hungry grizzly bear.
She recovered from the carnage and said, “Now you’re going to tell me that was the day I came in for my interview.”
“You must have been riding the train for a while because it seemed like I stared at you for a few weeks.  Were you following me?” Brad asked feeling a bit paranoid about the former prosecutor.
She smiled, “For a change, no.  According to your account, I was definitely the hunted instead of the hunter for a change.”
Brad breathed a sigh of relief and then asked, “So what were you doing riding the train every day?”
“Well my day always said that I should keep busy while I was looking for work.  I felt like I would build up some momentum building up to my interview at Organic Nation.”
Brad looked confused, “But didn’t you already work for the government?”
“Yes.”
“Are you telling me the truth?” he asked.
“Yes.  I must have been getting into character.  They didn’t know that I had a thing for you.  I needed to clear my head so I wouldn’t blow the interview.”
“I remember when you came in for that interview.  Day-to-day operations were my focus, not hiring new employees.  You were sitting outside of HR waiting to talk to someone and I just happened to stroll by and introduce myself,” he said.
“And then you ushered me into a conference room and grilled me for a few minutes before the HR person came in and was quite surprised to see you.  What did you say to that woman after I left?”
Brad’s face beamed the kind of smile that could heat an entire village, “She asked me what I thought of you and I told her that we’d be fools if we didn’t hire you.  What I was really saying was that I would be fool to let you get away.”
Stacey became flushed and then softly replied, “I don’t think I would have gotten that job without you?”
Brad smiled again, “Well, I guess we’re even.  I wouldn’t be sitting her now if you hadn’t come into my life.”
“No hard feelings for destroying your life and sending you to jail?” Stacey asked.
He snuggled up and put his arms around her, “None.  I only wish I had come to my senses sooner.”
“So, you’re okay with the betrayal?” Stacey pushed on.
“Don’t press your luck.  I was trying to move on,” Brad said at first with a serious face and then burst into laughter and a rampant tickling session.
“Say you’re sorry,” Brad said repeatedly to the stubborn Stacey who finally relented after about 20 seconds, “I’m sorry!”
“Well, in that case…” he said as he moved away from Stacey and reached into his pocket.  He knelt down on his left knee and asked, “Stacey Berger.  Will you do me the honor of becoming my wife?”
Stacey was still catching her breath and the proposal did nothing to slow her heartbeat.  She smiled, as tears started flowing down her eyes, “I can’t think of any other place I’d rather be.”
