Janell Rhiannon
Uncross the Stars

Copyright @ 2014 by Janell Rhiannon
All rights reserved. No part of this publication may be reproduced or transmitted in any form or by any means, electronic or mechanical, including photocopying, recording, or any information storage device without permission in writing from the publisher or author. 
*
This book is a work of fiction. References to historical events and people, or real locales are used fictitiously. Other names, characters, places, and incidents are the product of the author’s imagination, and any resemblance to actual events or persons or locales, living or dead, is entirely coincidental. 
*
Kindle 1st Edition 
Cover Design by @ Regina Wamba of Mae I Design 
Edited by Melissa @ There For You Book Editing and Review 
*
You can follow the author at:
Janell Rhiannon @Facebook
Twitter @theravenangel
www.janellrhiannon.com

Acknowledgments
Whenever you sit and write for hours, days, months...you get sick of it. You get sick of your own story, of editing, of sitting...and you begin to doubt that you can finish the book. The saving grace for a writer is that precious handful of people who cheer you on any way they can. They let you ramble, vent, and send texts with sad faces. I’m sure that when I was at my wit’s end for the hundredth time, they wished I’d just finish the book. But, they let me continue the process and encouraged me along the way. So, to this little group who helped me push through Uncross the Stars, I give you my deepest gratitude. 
*
Jim, Nathan, Wesley, and Verni
And in a place of honor, for your assistance 
and a special brand of encouragement
Joy

Chapter 1
At midnight, Fiona and her mother finally pulled into the driveway of their new rental. Her mom cut the engine, but not the parking lights.
	“Looks like we made it, Fee.”
Morning football practice was mostly weight training because the guys “mostly” stood around talking, instead of lifting weights. The one exception was Dario. As team captain, he took all aspects of practice seriously. To Ryan, it was just one more way Dario thought he was better than everyone else. What a bastard. Look at him just doing his leg presses like a good soldier. He was busy mind-killing Dario when the object of his discontent waved him over. Ryan gave Dario the obligatory nod greeting and headed toward him.
	“Hey, man!” he slapped Dario’s hand, sliding into their accustomed handshake. 	“Pumping up for the game against Wayne City, I see.”
	“Whatever it takes, right?”
	“Sure. Whatever it takes.”
	Dario sat up in the leg press. “Why’d you move to defense, Ryan? You tryin’ to play both sides now? I saw the roster change on coach’s door.”
	“Nah, it’s just better for me. Can’t always be trailing you as second QB. My butt sees more bench than game time.”
	“You’re a good quarterback, Ryan.”
	“Not good enough, man.” Ryan half smiled and looked away. “I’m fine with it. Don’t sweat it, D.”
	“All righty, then. So, we’re good?” Dario asked.
	“Yup. If I didn’t know better, I’d think you were stalling on these weights.”
	“Not even.” Dario settled back into the seat to begin another set of heavy leg presses.
	Ryan imagined Dario breaking a leg. He’d be the starting quarterback. The only quarterback. His plan to put Dario in his place would require stealth, precision, and maybe a little danger. “Hey, D. What’s with the new girl?”
	“What? Which one?”
	“The chick you got hitched to in English. She’s bangin’. Thought maybe you’d wanna try and get some of that fresh meat for yourself before someone else does.”
	“I’m focused on the game. Don’t need any distractions.”
	“You’re unbelievable, man.”
	Dario locked the safety, got up and racked the press with two more 45s. He looked at his friend. “What exactly do you mean by that?”
	“I mean, you get set with this hot new chick and you don’t even think about it?”
	“Think about what?”
	Ryan thrust his hips out. “It. Doing it. Sex.”
	“You know how I feel about that, man.”
	“I forgot. Your virginity plan. Dude, you gotta know I’d tap that. Why don’t you give me her number, if you’re not going to ask her out.”
	“Ryan, sometimes you’re a real ass.”
	“Take it easy, D. Just trying to get you to expand your horizon a little bit. Sample what you’re missing.”
	“I have my reasons. Leave it at that.”
	“Whatever you say,” Ryan decided he’d pushed enough. “Better finish up. Bell’s gonna ring any minute.”

Chapter 4
Dario looked around Fiona’s room. It was sparse, but he liked the way she’d strung the white Christmas lights around the floor and over her bed. Fiona gestured toward the center of the room. 
	“I thought we could work on the floor,” she said. “Is that all right? I mean, the only other option is my bed, but—”
	“Sure,” Dario said, glancing away from the bed. 
	They unpacked their anthologies and lay down facing each other with the heavy books opened between them.
	“How was the game Friday night?” Fiona asked.
	“Good. You didn’t go?” he asked.
	“No. Should I have?”
	“Do you like football?”
	Fiona winced a little. “Not really.”
	“It’s official. You just broke my heart.”
	“Why? Because I didn’t go to your game? Did you even play?”
	“I’m the starting quarterback.”
	“Oh.” Fiona fidgeted with the corner of a page in the book. 
	Dario smiled at her obvious discomfort. He thought she looked cute. “Do you know what the quarterback does?” 
	“No, but I’m guessing you’re important to the team,” she said.
	“I decide who to throw the ball to so the team can score. And I’m team captain. There’s nothing more important than football in my world. Well, almost nothing.”
	“I’ve never actually been to a football game,” Fiona admitted.
	“We’re gonna have to change that.”
	“What do you mean?” she asked.
	“Maybe you’ll come to one of my games?”
	“Sure. I guess I could.”
	“Good. You’ll be my official guest when you do. You can’t be at SCH without going to Friday night football. Everyone goes to Friday night games.”
	“I didn’t know it meant that much to you,” Fiona said.
	“Not just me. Football’s a big part of what we do. You know?” 
	Fiona’s sweet smile faded from her mouth and her eyes. She flipped a page in the anthology. Dario wasn’t sure what he’d said to injure her, but whatever it was he wanted to take it back. Hurting Fiona’s feelings was the last thing he wanted to do. He wanted her to come to his games. He wanted her to see him doing what he did best, not this English assignment. He didn’t know how to fix the injury he accidentally inflicted, so he said, “Look, I’ll let you wear my jersey on game day.” He couldn’t think of any other girl he wanted to give it to.
	He’d never let a girl wear his jersey before, too much drama. Besides, it might bring that smile he liked so much back to her eyes. And, deep down, he wanted her to wear it. He imagined throwing a winning touchdown, while Fiona watched from the bleachers. He smiled to himself.
	“What do I do with the jersey?” Fiona asked.
	“Wear it on game day,” he said.
	“Really?”
	“Don’t worry. I’ll have my mom wash it. Right now it’s fermenting in my locker with my practice gear.”
	“Lovely.”
	“You’ll see. You’ll like our football games. Trust me.”
	Fiona smiled again. “Aye, Aye, O Captain, My Captain.”
	“What?” He immediately worried she thought he was being a jerk telling her to go, when maybe she didn’t want to have anything to do with football.
	“Nothing. It’s just a poem. Silly, really. Never mind,” Fiona said.
	He noticed her smile fade away again. He had no idea why his words wiped the light from her eyes and from her lips. All he could think about was how pretty she was and how he wanted to just tell her what he thought. He watched every move she made. He wanted to reach across the books and touch her bottom lip as she bit it in a slight frown. He wanted to lean across the books and kiss her. Kiss her gently, softly. His heart pounded watching her turn pages with a delicate flick of her wrist, while her gray eyes scanned the words, and her finger traced the thin black lines. The way she moved her hands tugged at a long dormant memory. A flash of his real mother’s hands turning pages in a book curved a nervous smile on his lips. It surprised him that this image chose this moment to surface.
	“I guess we should start our English project,” Dario suggested.
	“Sure. Our first passage is act one, scene five. Lines thirty-eight to fifty-one. It’s the moment Romeo first sees Juliet. He’s saying that her beauty burns brighter than the torches. That she’s a jewel in the night sky.”
	“And all the other girls look like crows compared to her snowy-dove complexion,” Dario added. He glanced up at her, noticing how her hair tumbled in a beautiful mess over her shoulder. He wanted to sweep the long bangs behind her ear, so he could see her eyes, the tilt of her chin. 
	“Or that she was pure. Innocent. But, she certainly stood out among all the rest. At least in his eyes,” Fiona said.
	“Did my heart love till now?” Dario read. “Forswear it, sight! For I never saw true beauty,” he stopped, looking up from the page, meeting Fiona’s pale grey eyes, “till this night.”
	“I wasn’t expecting you to…to…” Fiona blurted out.
	“Read?” Dario asked.
	“That’s not what I meant. It’s just that you read it so…good.” She recalled what Meagan told her about Dario. “Maybe we’ll get an A after all.”
	“Hold on! You thought we wouldn’t get a good grade because I’m a guy?”
	“No. I just thought guys didn’t really like Shakespeare. Romeo and Juliet in particular.”
	“I’m not most guys. And Shakespeare was a guy.”
	Fiona threw her hand up in mock defense. “My bad. Point taken. No offense, okay?”
	“What’s next?” Dario asked.
	“Lines ninety-one through one-hundred-forty-four.”
	For a long while, they read silently across from each other. Fiona finished first and asked, “Do you have any questions about this section.”
	“Not really.”
	“Are you sure?” Fiona asked.
	“Let’s see.” Dario finally gathered enough courage to reach across the books and took Fiona’s hand in his. “Then move not while my prayer’s effect I take.” Then, he leaned in further, forcing Fiona to look him in the eyes. He watched the blush tint her cheeks. “Thus from my lips…,” Dario leaned close as he whispered, “By thine, my sin is purged.” He pressed his cheek against her face, pulling back so his lips brushed against her warm cheeks. With his free hand, he reached to tilt her chin up just so their lips touched without actually kissing. Then, he released her face gently from his grasp.
Fiona opened her mouth, but no words came out. She shook her head. “I’m guessing you’ve read this before.”
	“Vice-president of the poetry club,” Dario said. He knew he’d blurred their scene with reality. The feel of her breath still warm on his lips. He knew that if she leaned into him right now, he could make the kiss real without needing Romeo as a crutch. He could almost hear Ryan mocking him that he couldn’t make the move.
	“Of course you are,” Fiona said. “Maybe we should pick a different scene? For class, I mean?”
	“Good idea,” Dario agreed. He’d meant to impress her with his mad memorization skills, but failed, until the last second, to understand that his conviction against love laid dangerously close to being overturned. Without realizing it, he almost tripped head over heels into love with a girl her barely knew over a project kiss.
	“You know I’ve always thought Romeo was more in love with love, than with Juliet,” Fiona said.
	“Really?” Up until this moment, Dario had avoided all aspects of love. He believed it would only lead to trouble. He’d been attracted to a few girls in high school, but none of them had even come close to making him feel like Fiona did. He barely knew her, yet everything about her made him want to know more.
	“Do you think there’s such a thing as love at first sight? I mean can a guy just look across the room and bam! He’s in love?”
	Dario considered her for a moment. “I think love at first sight happens smile by smile. The first one hooks you. The rest keep reeling you in.”
	Fiona smiled despite herself.
	“Hey, have you ever been up to the pond?” Dario asked.
	“Not that I recall. No.”
	“You want to go tomorrow? I can drive us up there. Maybe picnic?”
